category_id,movie_id,person_id
11,1,8547
2,1,352
2,1,5160
4,1,5569
2,1,6693
10,1,951
1,1,5418
1,1,8572
8,1,7953
3,1,538
2,2,10016
2,2,8046
2,2,7744
4,2,5689
10,2,1493
10,2,1494
1,2,3301
3,2,6636
11,2,6101
3,3,8616
2,3,4966
2,3,6547
2,3,6729
2,3,9109
10,3,8741
1,3,28810
1,3,4790
8,3,2279
6,3,536
11,4,2994
2,4,276
2,4,290
4,4,863
2,4,275
10,4,4523
8,4,5063
8,4,8439
6,4,3896
3,4,6624
1,5,8909
2,5,150
2,5,425
2,5,7622
4,5,1526
10,5,976
1,5,9901
1,5,1777
1,5,5105
1,5,7538
8,6,3737
2,6,180
2,6,7093
4,6,1244
2,6,337
10,6,763
1,6,220
1,6,3715
1,6,8546
8,6,2722
6,7,8646
2,7,9716
2,7,337
2,7,240
2,7,9773
10,7,2575
8,7,21456
8,7,3891
8,7,4979
8,7,9235
6,8,1970
2,8,7322
2,8,5282
4,8,9993
2,8,5770
10,8,6666
1,8,639
8,8,5600
8,8,5838
8,8,586
6,9,903
2,9,123
4,9,120
2,9,479
2,9,5529
10,9,8663
1,9,1876
1,9,4771
8,9,1544
8,9,7951
5,10,1216
2,10,2956
4,10,6041
2,10,1943
4,10,457
10,10,601
6,10,4883
3,10,2873
11,10,2292
5,10,1047
3,11,7631
2,11,188
2,11,3439
2,11,7740
2,11,8113
10,11,6540
1,11,5669
8,11,6939
8,11,695
6,11,6131
2,12,198
2,12,197
4,12,753
2,12,6430
10,12,3849
8,12,9992
6,12,634
3,12,7603
11,12,629
3,13,2604
2,13,3696
2,13,158
2,13,4024
2,13,7908
10,13,2081
1,13,5850
8,13,2082
8,13,9266
6,13,6305
6,14,572
4,14,3739
2,14,6984
2,14,541
2,14,3192
10,14,4184
1,14,5176
8,14,7244
8,14,3051
8,14,5462
11,15,2847
2,15,4228
2,15,7793
2,15,1780
2,15,1431
10,15,5307
1,15,8220
6,15,3728
6,15,5940
3,15,6354
11,16,3818
2,16,806
4,16,69
4,16,405
2,16,14
1,16,204
8,16,1564
6,16,3497
3,16,680
11,16,3816
3,17,539
2,17,104
2,17,155
4,17,128
2,17,1995
10,17,8630
1,17,8053
8,17,2666
8,17,6468
6,17,9862
6,18,9763
4,18,3950
2,18,8096
2,18,3044
2,18,5953
10,18,4001
8,18,3768
8,18,968
8,18,961
8,18,9855
4,19,7584
2,19,1019
2,19,9405
4,19,1053
10,19,8688
8,19,6314
6,19,6896
11,19,6116
5,19,1527
6,20,18605
2,20,6552
2,20,2106
2,20,6326
4,20,9610
10,20,1524
8,20,261
8,20,3427
8,20,5865
8,20,7097
11,21,15883
4,21,842
4,21,837
4,21,4313
4,21,562
10,21,6667
1,21,7238
8,21,3922
6,21,910
3,21,2149
11,22,3104
4,22,5619
2,22,8307
2,22,1149
4,22,3258
10,22,9770
1,22,6854
1,22,9590
6,22,8875
3,22,6395
6,23,920
4,23,41
2,23,511
2,23,288
2,23,5521
10,23,2320
1,23,2322
8,23,999
8,23,2321
8,23,7723
3,24,8078
4,24,14263
2,24,1610
2,24,10490
4,24,14277
10,24,8493
1,24,6434
8,24,2489
6,24,1321
6,24,645
5,25,2644
2,25,8019
4,25,1891
2,25,2937
2,25,4975
10,25,2433
8,25,6514
6,25,2795
3,25,9149
11,25,7499
5,26,6504
2,26,2238
2,26,8326
4,26,9174
2,26,6139
10,26,9902
1,26,5288
6,26,10181
3,26,7910
11,26,7048
11,27,10081
2,27,1633
2,27,433
4,27,170
2,27,8075
10,27,6441
1,27,9133
8,27,7341
6,27,4100
3,27,9851
6,28,2792
2,28,781
2,28,9809
2,28,350
2,28,2512
10,28,3624
1,28,8923
1,28,5654
1,28,9957
8,28,2797
6,29,19059
2,29,447
4,29,774
2,29,840
4,29,2808
10,29,10004
1,29,6998
1,29,8038
8,29,7671
8,29,10164
6,30,6534
2,30,214
4,30,105
4,30,310
2,30,87
10,30,2747
1,30,2102
8,30,4107
8,30,566
8,30,9992
8,31,8796
2,31,450
4,31,396
2,31,4834
4,31,5072
10,31,4355
8,31,3450
8,31,5394
8,31,6679
8,31,7202
11,32,19670
2,32,8828
2,32,3184
4,32,6654
4,32,9086
10,32,4783
6,32,2825
6,32,18933
3,32,1479
11,32,7949
11,33,9847
2,33,5088
4,33,10026
2,33,6257
2,33,3610
10,33,7820
8,33,7035
3,33,8821
11,33,2514
11,33,5236
8,34,7825
2,34,44
4,34,2128
2,34,3953
4,34,1247
10,34,4999
1,34,9774
1,34,1774
1,34,6166
8,34,8995
6,35,2377
2,35,859
2,35,439
4,35,1464
4,35,760
10,35,6091
1,35,4447
1,35,4914
1,35,4049
8,35,3526
4,36,332
2,36,2270
4,36,1237
2,36,957
6,36,2488
3,36,2287
11,36,4088
5,36,8864
3,37,6095
4,37,1196
4,37,2513
4,37,3548
2,37,4843
10,37,8739
1,37,1630
1,37,10015
8,37,547
6,37,9908
11,38,3378
2,38,3063
4,38,7675
4,38,7611
4,38,1230
10,38,6380
1,38,10984
8,38,922
6,38,1676
3,38,9024
8,39,8564
2,39,815
4,39,336
2,39,1557
4,39,9305
10,39,5246
1,39,6260
1,39,6851
8,39,17219
8,39,4517
11,40,3641
2,40,10073
4,40,2880
4,40,6499
2,40,9386
10,40,4354
1,40,14600
8,40,7274
6,40,1676
3,40,7002
3,41,695
4,41,2837
4,41,6182
2,41,5060
2,41,8999
10,41,5943
1,41,7456
8,41,5255
8,41,7710
6,41,8117
11,42,591
2,42,5190
4,42,5120
2,42,6333
4,42,2259
10,42,5724
8,42,1687
8,42,4329
6,42,909
3,42,9845
6,43,637
2,43,2778
2,43,8352
4,43,5162
2,43,4180
10,43,6879
1,43,2120
1,43,6215
1,43,7452
8,43,6129
5,44,6338
2,44,788
2,44,9893
4,44,371
2,44,307
10,44,7430
8,44,9650
6,44,2361
3,44,4290
11,44,1844
3,45,4731
2,45,698
2,45,9769
4,45,831
4,45,7566
10,45,3050
1,45,945
8,45,6783
8,45,2742
6,45,9917
2,46,3289
4,46,5383
4,46,8805
2,46,7848
10,46,5486
6,46,8785
3,46,8605
11,46,4449
5,46,5873
5,47,2105
2,47,2415
2,47,9646
2,47,3270
2,47,1934
10,47,4269
10,47,5720
1,47,9445
3,47,7849
11,47,3108
3,48,3615
4,48,2170
2,48,2614
2,48,2894
4,48,5091
10,48,2416
8,48,1605
8,48,5005
6,48,12612
6,48,8521
5,49,6072
2,49,683
2,49,7322
2,49,3422
2,49,10262
10,49,7318
1,49,10301
8,49,1833
6,49,3692
3,49,1918
3,50,6102
2,50,8687
2,50,3324
4,50,1089
4,50,4897
10,50,1530
1,50,5285
8,50,2161
8,50,3387
8,50,5053
3,51,5242
2,51,791
2,51,834
4,51,839
2,51,2953
10,51,7729
1,51,1313
8,51,4442
8,51,6732
6,51,8827
5,52,9297
4,52,4715
2,52,3463
2,52,253
4,52,4378
10,52,12386
8,52,10230
6,52,2691
3,52,5167
11,52,628
3,53,1192
2,53,5602
2,53,8658
2,53,6601
2,53,7222
10,53,874
1,53,7981
8,53,4645
8,53,4726
6,53,9365
3,54,7778
2,54,1812
4,54,8472
2,54,4138
4,54,8318
10,54,2877
8,54,3866
8,54,3911
8,54,4480
6,54,2534
8,55,6278
2,55,7766
2,55,2325
2,55,3825
2,55,8438
1,55,6457
1,55,6458
1,55,7549
1,55,10121
8,55,6277
11,56,3275
2,56,1593
4,56,3307
4,56,3800
4,56,3353
10,56,7800
1,56,6925
8,56,8418
6,56,913
3,56,5587
2,57,1664
4,57,20291
4,57,5156
4,57,1242
4,57,7678
4,57,675
2,57,22562
4,57,39954
4,57,6753
3,58,1245
2,58,492
2,58,382
4,58,6248
2,58,2784
10,58,7686
1,58,600
8,58,8671
8,58,7825
6,58,691
3,59,7583
2,59,785
4,59,173
4,59,82
4,59,527
10,59,5094
8,59,2851
8,59,4839
6,59,904
6,59,5621
5,60,7879
2,60,479
2,60,5657
4,60,2014
2,60,8112
10,60,7548
8,60,4297
6,60,5824
3,60,5517
11,60,1538
2,61,3502
10,61,5653
8,61,15436
8,61,9331
6,61,8464
3,61,2476
11,61,3424
5,61,6252
5,62,5351
2,62,358
4,62,6346
2,62,663
2,62,1311
10,62,2436
8,62,5580
6,62,8991
3,62,1878
11,62,9752
11,63,6053
2,63,3915
2,63,407
4,63,3310
2,63,3054
10,63,2294
1,63,6541
1,63,6706
8,63,9606
6,63,1002
3,64,1567
2,64,6336
4,64,837
2,64,2401
2,64,12148
10,64,7391
1,64,4077
8,64,4327
8,64,5629
6,64,9763
8,65,4085
4,65,22
2,65,821
2,65,6242
4,65,5467
10,65,8271
1,65,5009
1,65,18
1,65,2102
1,65,5087
6,66,689
2,66,337
2,66,731
2,66,346
2,66,7261
10,66,2922
1,66,1101
1,66,1162
1,66,2915
1,66,5371
11,67,7971
4,67,26
2,67,8742
2,67,8223
4,67,6698
10,67,6309
1,67,10244
8,67,668
6,67,5824
